artwork_id,Title,Slug,Alt_Text,Status,Category,Orientation,Size,Medium,Support,Source,Original_Available,Base_Price,Date_Created,Tags,Mood,Colors,Image,Image_Status,Primary_Use,AI_Ready,Description,Story,Subject,Location,Time_of_Day,Light_Description,AI_Draft_Complete,Human_Approved,Series,Workflow_Status
AOA-ART-0001,A Place to Return,,,complete,Coastal,portrait,20x16,,,,Yes,399.00,01/01/2016,"Maine, boat, coastal home, cottage, dock, nautical, ocean","airy, calm, nostalgic, peaceful","coastal neutrals, soft blue, sunwashed wood, warm white",https://drive.google.com/file/d/1gM5goqt-GOOXUU49norpt5QrI1DjyEKg/view?usp=drive_link,,living room,No,"A quiet coastal moment featuring a sunlit dock, a resting rowboat, and a cottage overlooking the water. The composition captures stillness, light, and the familiar rhythm of the sea.","A Place to Return reflects the nostalgia and serenity of Maine’s shoreline — where cottages hold memory, light, and salt air in every board. This piece invites a sense of stillness and familiarity, capturing the quiet rhythm of a summer afternoon by the water.",,,,,No,No,,
AOA-ART-0002,Light Through the Clouds,,,approved,Landscape / Seascape,Landscape,"14"" × 11""",,,,Yes,499,2026,"coastal seascape, sunset landscape, Maine art, evening light, atmospheric painting, canvas seascape, twilight seascape, coastal Maine, seascape wall decor, dusk landscape, original oil painting, cloud painting, sunbeams art",Evening stillness. Quiet contemplation. The pause between day and dusk.,"Violet (dominant sky), soft rose/blush (upper atmosphere), pale blue-grey (water), deep mauve (distant treeline), pale cream/yellow (light breakthrough), charcoal grey (foreground rocks)",https://drive.google.com/file/d/1fZ5EpIB70eyXJEhdGP7s_Tp37FPWTiqB/view?usp=drive_link,,"Wall art for spaces requiring quiet contemplation: bedrooms, reading nooks, offices, studies",Yes,"Light Through the Clouds captures the quiet moment when the sky opens — light pouring through a break in the clouds over a still Maine bay at dusk. Original oil painting on canvas, signed on the back. Painted in my Scarborough, Maine studio. Ships flat and carefully wrapped from Maine within 5–7 business days. Local pickup available in the Scarborough / Portland area. Each original is one of a kind — once it is gone, it is gone. Commissions in a similar style are available; message me to start one.","The quiet moment when the sky opens — light pouring through a break in the clouds over the bay, painted from a still evening on the Maine coast.","Evening seascape with distant forested islands, calm water, rocky foreground and light breakthrough through clouds",Maine coast — Scarborough area,Evening — after sunset before full darkness,Pale gold light breaking through violet atmosphere — cool and gentle. Light moves through violet space as illuminated air. Not dramatic; the last working light of the day filtered through atmosphere and cloud.,Yes,Yes,,Ready for Products
AOA-ART-0003,Cobalt Bloom,cobalt-bloom,,available,,portrait,"9"" × 12""",,,,No,99.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0004,Gilded Horizons No. 8 When the Sky Blushes,gilded-horizons-no-8-when-the-sky-blushes,,available,,landscape,"14"" × 11""",,,,No,299.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0005,Return to the Marsh,return-to-the-marsh,,available,,landscape,"14"" × 11""",,,,No,399.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0006,Faded Morning,faded-morning,,available,,portrait,"9"" × 12""",,,,No,99.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0007,Blush in the Horizon,blush-in-the-horizon,,available,,square,"20"" × 20""",,,,No,399.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0008,Still as the Sky,still-as-the-sky,,available,,square,"20"" × 20""",,,,No,399.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0009,Gilded No. 14 Crimson & Tide,gilded-no-14-crimson-tide,,available,,square,"20"" × 20""",,,,No,399.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0010,Verdigris & Blush,verdigris-blush,,available,,square,"8"" × 8""",,,,No,120.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
