event_id,Title,Slug,Status,Type,Start Date,End Date,Timezone,Venue Name,Street Address,City,State,Postal Code,Country,Latitude,Longitude,Short Description,Long Description,Hero Image,Hero image alt text,RSVP / external link,Featured,Booth / Site Number,Booth Fee,Co-exhibitor(s),Contact Email,Contact Name,Contact Phone,Inventory Plan,Map URL,Notes,Outcome Notes,Ticket URL,Ticket price,Art Pieces Shown
AOA-EVT-0001,Farmers Market at The Downs,farmers-market-may,Cancelled,Market,"May 30, 2026 11:00 AM (EDT)","May 30, 2026 2:00 PM (EDT)",America/New_York,The Downs,,Scarborough,ME,,USA,43.5781,-70.3273,"Originals, prints, and small works at the Saturday market. 11am–2pm.","Arts of August will be at the Saturday market with originals, prints, and small works.",,,,No,0,0,,,,,"Originals, prints, and small works.","https://www.google.com/maps?q=43.5781,-70.3273",Imported from current website events data.,,,,
AOA-EVT-0002,"Two Perspectives, One Shore — First Friday Art Walk",first-friday-june,Published,First Friday,"June 5, 2026 5:00 PM (EDT)","June 5, 2026 8:00 PM (EDT)",America/New_York,The Downtown Social,128 Free Street,Portland,ME,,USA,43.6591,-70.2568,A shared evening with Susan Roux: a paired show of coastal work across two perspectives. 5–8pm.,"A shared First Friday evening with Susan Roux, bringing together coastal work across two perspectives: teacher and former student, shoreline and sky, light and atmosphere.",,"Event flyer for Two Perspectives, One Shore, a First Friday Art Walk show in Portland, Maine.",https://www.facebook.com/share/1FZbbcWDnP/,No,0,0,Susan Roux,,,,"A full wall of new originals — marshes, bays, and skies painted this spring.","https://www.google.com/maps?q=43.6591,-70.2568",Imported from current website events data and event email copy.,,,Free,Tied to the Morning (https://app.notion.com/p/Tied-to-the-Morning-36f70b21b17e81e0b216ee012a2917f4?pvs=21)
AOA-EVT-0003,Farmers Market at The Downs,farmers-market-june,Published,Market,"June 27, 2026 11:00 AM (EDT)","June 27, 2026 2:00 PM (EDT)",America/New_York,The Downs,,Scarborough,ME,,USA,43.5781,-70.3273,"Originals, prints, and small works at the Saturday market. 11am–2pm.","Arts of August will be at the Saturday market with originals, prints, and small works.",,,,No,0,0,,,,,"Originals, prints, and small works.","https://www.google.com/maps?q=43.5781,-70.3273",Imported from current website events data.,,,,
AOA-EVT-0004,Farmers Market at The Downs,farmers-market-july,Published,Market,"July 25, 2026 11:00 AM (EDT)","July 25, 2026 2:00 PM (EDT)",America/New_York,The Downs,,Scarborough,ME,,USA,43.5781,-70.3273,"Originals, prints, and small works at the Saturday market. 11am–2pm.","Arts of August will be at the Saturday market with originals, prints, and small works.",,,,No,0,0,,,,,"Originals, prints, and small works.","https://www.google.com/maps?q=43.5781,-70.3273",Imported from current website events data.,,,,
AOA-EVT-0005,Art in the Park,art-in-the-park,Published,Show,"August 8, 2026 10:00 AM (EDT)",,America/New_York,Art in the Park,,South Portland,ME,,USA,43.6415,-70.2691,A full booth of new originals and prints among other Maine makers and artists.,Arts of August will have a full booth of new originals and prints among other Maine makers and artists.,,,,No,93,0,,jfisher@southportland.gov,Jenna Martyn-Fisher,,New originals and prints.,"https://www.google.com/maps?q=43.6415,-70.2691","Application was waitlisted, then accepted. Site number 93.",,,,
AOA-EVT-0006,Farmers Market at The Downs,farmers-market-aug,Published,Market,"August 29, 2026 11:00 AM (EDT)","August 29, 2026 2:00 PM (EDT)",America/New_York,The Downs,,Scarborough,ME,,USA,43.5781,-70.3273,"Originals, prints, and small works at the Saturday market. 11am–2pm.","Arts of August will be at the Saturday market with originals, prints, and small works.",,,,No,0,0,,,,,"Originals, prints, and small works.","https://www.google.com/maps?q=43.5781,-70.3273",Imported from current website events data.,,,,
AOA-EVT-0007,Farmers Market at The Downs,farmers-market-sep,Published,Market,"September 26, 2026 11:00 AM (EDT)","September 26, 2026 2:00 PM (EDT)",America/New_York,The Downs,,Scarborough,ME,,USA,43.5781,-70.3273,"Originals, prints, and small works at the Saturday market. 11am–2pm.","Arts of August will be at the Saturday market with originals, prints, and small works.",,,,No,0,0,,,,,"Originals, prints, and small works.","https://www.google.com/maps?q=43.5781,-70.3273",Imported from current website events data.,,,,
AOA-EVT-0008,Commissions on Martha's Vineyard,commissions-marthas-vineyard-august-2025,Published,Display,,,America/New_York,Commissions on Martha's Vineyard,,Martha's Vineyard,MA,,USA,0,0,Commission work connected to Martha's Vineyard in August 2025.,,,,,No,0,0,,,,,,,Historical show/work entry. Date precision from source: August 2025. Exact day unknown.,,,,
AOA-EVT-0009,L.L.Bean Artist Showcase,llbean-artist-showcase-september-2025,Published,Show,,,America/New_York,L.L.Bean Headquarters,,Freeport,ME,,USA,0,0,"Artist showcase at L.L.Bean Headquarters in Freeport, Maine.",,,,,No,0,0,,,,,,,Historical show entry. Date precision from source: September 2025. Exact day unknown.,,,,
AOA-EVT-0010,Debut Showcase,debut-showcase-downtown-social-november-2025,Published,Show,"November 7, 2025 5:00 PM (EST)","November 7, 2025 8:00 PM (EST)",America/New_York,The Downtown Social,128 Free Street,Portland,ME,,USA,0,0,Kaleigh Anderson's solo debut exhibit with Arts of August at The Downtown Social.,An evening of art and cocktails featuring a new collection of coastal Maine oil paintings.,,,,No,0,0,,,,,,,Event details were shared with Portland Old Port for calendar/weekend guide coverage.,Portland Old Port confirmed they would add the event to their events calendar and weekend guide.,,,
AOA-EVT-0011,Yarmouth Art Alliance — Merrill Memorial Library Gallery,yarmouth-art-alliance-merrill-memorial-library-november-2025,Published,Show,"November 15, 2025","January 31, 2026",America/New_York,Merrill Memorial Library Gallery,,Yarmouth,ME,,USA,0,0,Arts of August work shown with Yarmouth Art Alliance at Merrill Memorial Library Gallery.,"A Color Story featuring artwork from Kaleigh Anderson and other artists, on view at Merrill Memorial Library Gallery.",,A Color Story show poster featuring Kaleigh Anderson and other artists at Merrill Memorial Library Gallery.,,No,0,0,"Tara Bates, Denise Cameron, Alex Sax, Judy Shank, Anne Tommaso",yarmoutharts@gmail.com,Jen MacDonald,207-807-7396,,,"Source agreement originally listed dates Nov 15, 2025 to Jan 5, 2026; later show poster/email indicates on view until Jan 31, 2026.",,,,
AOA-EVT-0012,Rosemont Old Port Holiday Market,rosemont-old-port-holiday-market-december-2025,Published,Market,"December 12, 2025 4:00 PM (EST)","December 13, 2025 3:00 PM (EST)",America/New_York,Old Port Square,"200 Middle Street, Suite 202",Portland,ME,04101,USA,0,0,"Arts of August participated in the Old Port Holiday Market in Portland, Maine.",A two-day holiday market hosted by Rosemont Artists Guild at Old Port Square.,,,,No,0,70,,mwaismanus@yahoo.com,Mia Waisman,207-233-5236,,,Booth size approximately 6ft x 8ft. No tenting. No electricity. Vendor responsible for transactions and sales tax.,,,,
AOA-EVT-0013,The Downs Open House,the-downs-open-house-december-2025,Published,Display,,,America/New_York,The Downs / Scoville Foley Team Open House,,Scarborough,ME,,USA,0,0,Arts of August showcased artwork at a Cross Street Open House with the Scoville Foley Team.,,,,,No,0,0,,amy@scovillefoleyhomes.com,Amy Foley,207-730-3071,,,Historical event entry. Source confirms a piece was purchased at the event.,Amy Foley purchased a piece and said she would reach out for future pieces.,,,
AOA-EVT-0014,Maine Street Design Co,maine-street-design-co-december-2025,Published,Display,,,America/New_York,Maine Street Design Co,,Bath,ME,,USA,0,0,Six Arts of August pieces were on display and for sale at Maine Street Design Co.,,,,,No,0,0,,,,,6 pieces on display and for sale.,,Historical show/display entry. Date precision from source: December 2025. Exact day unknown.,,,,
AOA-EVT-0015,Merry and Bright Night Fair,merry-and-bright-night-fair-december-2025,Published,Market,,,America/New_York,Merry and Bright Night Fair,,Biddeford,ME,,USA,0,0,"Arts of August participated in the Merry and Bright Night Fair in Biddeford, Maine.",,,,,No,0,0,,,,,,,Historical event entry. Date precision from source: December 2025. Exact day unknown.,,,,
AOA-EVT-0016,Biddeford Art Walk,biddeford-art-walk-june-2026,Published,Art Walk,"June 19, 2026 5:00 PM (EDT)","June 19, 2026 7:00 PM (EDT)",America/New_York,Biddeford Main Street Historic District,,Biddeford,ME,,USA,,,"June Art Walk throughout downtown Biddeford. Rain or shine — sidewalk vendors open 5–8pm, with indoor galleries, businesses, and exhibits to explore.","June Art Walk throughout downtown Biddeford. Rain or shine — sidewalk vendors open 5–8pm, with indoor galleries, businesses, and exhibits to explore.

Kaleigh will be at the Biddeford Main Street Historic District.",,,https://facebook.com/events/s/biddeford-art-walk-june/1381246484052271/,No,,,,,,,,https://www.google.com/maps/search/?api=1&query=Biddeford%20Main%20Street%20Historic%20District%2C%20Biddeford%2C%20ME,,,,,
