product_id,artwork_id,Product Type,Product Name,Format,Size,Frame Color,Fulfillment,Price,Status,Notes,Orientation,Printful Product,Printful Base Cost,Shipping Cost,Total Cost,Margin %,Shipping Model,Etsy Shipping Profile,Lovable Shipping Rate,Sales Channels,Etsy Listing ID,Etsy Status,Lovable Status
AOA-PRD-0002-001,AOA-ART-0002,Original Painting,Light Through the Clouds — Original Oil Painting,Original,14" × 11",Framed (show frame),Artist direct,$499,ready-for-review,Framed original from 2026 debut series.,N/A,N/A,,,,,Fixed-seller-ships,N/A,30,Lovable,,N/A,draft
AOA-PRD-0002-002,AOA-ART-0002,Printful Print,Light Through the Clouds — Framed Canvas Print Small White,Framed Canvas,8×10,White,Printful,$95,ready-for-review,,Horizontal,Framed Canvas (in),27.80,9.49,37.29,60,Printful-free,#PF-FRGFREE,0,Etsy,,draft,N/A
AOA-PRD-0002-003,AOA-ART-0002,Printful Print,Light Through the Clouds — Framed Canvas Print Small Brown,Framed Canvas,8×10,Brown,Printful,$95,ready-for-review,,Horizontal,Framed Canvas (in),27.80,9.49,37.29,60,Printful-free,#PF-FRGFREE,0,Etsy,,draft,N/A
AOA-PRD-0002-004,AOA-ART-0002,Printful Print,Light Through the Clouds — Framed Canvas Print Small Black,Framed Canvas,8×10,Black,Printful,$95,ready-for-review,,Horizontal,Framed Canvas (in),27.80,9.49,37.29,60,Printful-free,#PF-FRGFREE,0,Etsy,,draft,N/A
AOA-PRD-0002-005,AOA-ART-0002,Printful Print,Light Through the Clouds — Framed Canvas Print Medium White,Framed Canvas,16×20,White,Printful,$180,ready-for-review,,Horizontal,Framed Canvas (in),61.20,9.49,70.69,60,Printful-free,#PF-FRGFREE,0,Etsy,,draft,N/A
AOA-PRD-0002-006,AOA-ART-0002,Printful Print,Light Through the Clouds — Framed Canvas Print Medium Brown,Framed Canvas,16×20,Brown,Printful,$180,ready-for-review,,Horizontal,Framed Canvas (in),61.20,9.49,70.69,60,Printful-free,#PF-FRGFREE,0,Etsy,,draft,N/A
AOA-PRD-0002-007,AOA-ART-0002,Printful Print,Light Through the Clouds — Framed Canvas Print Medium Black,Framed Canvas,16×20,Black,Printful,$180,ready-for-review,,Horizontal,Framed Canvas (in),61.20,9.49,70.69,60,Printful-free,#PF-FRGFREE,0,Etsy,,draft,N/A
AOA-PRD-0002-008,AOA-ART-0002,Printful Print,Light Through the Clouds — Framed Canvas Print Large White,Framed Canvas,24×32,White,Printful,$230,ready-for-review,,Horizontal,Framed Canvas (in),81.60,10.49,92.09,60,Printful-free,#PF-FRGFREE,0,Etsy,,draft,N/A
AOA-PRD-0002-009,AOA-ART-0002,Printful Print,Light Through the Clouds — Framed Canvas Print Large Brown,Framed Canvas,24×32,Brown,Printful,$230,ready-for-review,,Horizontal,Framed Canvas (in),81.60,10.49,92.09,60,Printful-free,#PF-FRGFREE,0,Etsy,,draft,N/A
AOA-PRD-0002-010,AOA-ART-0002,Printful Print,Light Through the Clouds — Framed Canvas Print Large Black,Framed Canvas,24×32,Black,Printful,$230,ready-for-review,,Horizontal,Framed Canvas (in),81.60,10.49,92.09,60,Printful-free,#PF-FRGFREE,0,Etsy,,draft,N/A
