Title,Next Action,"Status (optional later: Sold Date, Sold Via, Collector Notes)",Category,Orientation,Dimensions,Original Available,Price (Original),Date Created,Tags,Mood,Colors,Master File Location,Primary Use,AI Ready (enough source info exists for AI to draft from),Description,Story,Subject,Location,Time of Day,Light Description,AI Draft Complete (AI has already generated the draft metadata/copy),Human Approved,Products Linked,Content Linked,Workflow Status,artwork_id,Image Status,Slug,Alt Text,Medium,Square Checkout URL,Display Order,Series,Opportunities Linked,Events Linked,POC Candidate,POC Role,Needs Review,Events Linked 1,Opportunities,Source,Primary Lifestyle Image,Primary Detail Image
,,,,,,No,,,,,,,,No,,,,,,,No,No,,,,,,,,Oil,,,,,,No,,Yes,,,canvas,,
,,,,,,No,,,,,,,,No,,,,,,,No,No,,,,,,,,,,,,,,No,,No,,,,,
A Place to Return,,coming-soon,Coastal,portrait,20x16,Yes,$399.00,01/01/2016,"Maine, boat, coastal home, cottage, dock, nautical, ocean","airy, calm, nostalgic, peaceful","coastal neutrals, soft blue, sunwashed wood, warm white",https://drive.google.com/file/d/1gM5goqt-GOOXUU49norpt5QrI1DjyEKg/view?usp=drive_link,living room,No,"A quiet coastal moment featuring a sunlit dock, a resting rowboat, and a cottage overlooking the water. The composition captures stillness, light, and the familiar rhythm of the sea.","A Place to Return reflects the nostalgia and serenity of Maine’s shoreline — where cottages hold memory, light, and salt air in every board. This piece invites a sense of stillness and familiarity, capturing the quiet rhythm of a summer afternoon by the water.",Sunlit dock with resting rowboat and coastal cottage overlooking calm water,,afternoon,"Warm afternoon light over calm coastal water — soft and unhurried, the kind of light that makes familiar places feel timeless",No,No,A Place to Return - Maine Coastal Cottage Canvas Print – Dockside Rowboat Wall Art (https://app.notion.com/p/A-Place-to-Return-Maine-Coastal-Cottage-Canvas-Print-Dockside-Rowboat-Wall-Art-37070b21b17e819aa8b3d6bf69ebbf6a?pvs=21),A Place to Return — IG Post 01 (https://app.notion.com/p/A-Place-to-Return-IG-Post-01-8cf0f2f03c1e4553aeb1b64a5b898abe?pvs=21),,AOA-ART-0001,,a-place-to-return,"Original oil painting of a sunlit Maine dock with a resting rowboat and a cottage overlooking calm coastal water, rendered in soft daylight with warm neutral tones.",Oil,,,,,,No,,Yes,,,canvas,,
A Tide of Color,,available,Landscape / Seascape,landscape,"10""h × 20""w",Yes,$349.00,01/01/2026,"Maine, ocean","calm, reflective","Violet, deep blue, lavender, mauve, peach, soft blue, warm orange, warm white",https://drive.google.com/file/d/1wUDKGfAJKoYo1tL9F5iHgEJ3HIrsG89Q/view?usp=drive_link,Original artwork; wall art; gift,Yes,"Evening color settles low over the Maine coast, with warm orange light fading into violet clouds and reflective water.

In A Tide of Color, the horizon stays quiet while the sky and shoreline carry most of the movement. Soft bands of mauve, lavender, peach, and deep blue drift across the canvas, giving the piece a calm, expansive feeling. The wide panoramic format lets the scene unfold slowly, like a final wash of light moving over water and land.","A wide Maine coastal evening, held in the last glow of color before the light slips away.","Maine coastal landscape, evening sky, shoreline, water, distant landforms, sunset color.",Maine coast.,Evening,Low warm light near the horizon with cooler violet and lavender tones spreading through the upper sky and reflected water.,Yes,Yes,,,Metadata Complete,AOA-ART-0070,Master Image Approved,a-tide-of-color,"A Tide of Color — original oil painting of a panoramic Maine coastal sunset with orange light, violet clouds, dark shoreline, and reflective water.",Oil,https://checkout.square.site/merchant/MLMZJC0ZVM6CF/checkout/KGRFRLJZGRAQ4TIYQRINEQNA,,,,,No,,No,,,Master image: https://drive.google.com/file/d/1wUDKGfAJKoYo1tL9F5iHgEJ3HIrsG89Q/view?usp=drive_link,https://drive.google.com/file/d/11On41VI7XwmPyAgSCIdu7HCsYjmIdUdw/view?usp=drive_link,https://drive.google.com/file/d/1hFM5lkWwaH1PhXmORg39PxzD4Qb49pHU/view?usp=drive_link
After the Catch,,available,,portrait,"12"" × 16""",No,$99.00,,,,,,,No,,,,,,,No,No,After the Catch – Coastal Harbor Buoy Canvas Print by Kaleigh Anderson (https://app.notion.com/p/After-the-Catch-Coastal-Harbor-Buoy-Canvas-Print-by-Kaleigh-Anderson-36f70b21b17e81e2a4abfeae4b9b90c4?pvs=21),,Etsy Import — Pending Review,AOA-ART-0021,,after-the-catch,,,,,,,,No,,Yes,,,,,
At the Edge of Town,,available,,landscape,"14"" × 11""",No,$99.00,,,,,,,No,,,,,,,No,No,At the Edge of Town – Countryside Landscape Canvas Print by Kaleigh Anderson (https://app.notion.com/p/At-the-Edge-of-Town-Countryside-Landscape-Canvas-Print-by-Kaleigh-Anderson-36f70b21b17e811dbe79e5ff543c9960?pvs=21),,Etsy Import — Pending Review,AOA-ART-0055,,at-the-edge-of-town,,Oil,,,,,,No,,Yes,,,canvas,,
Avo Love,,available,,square,"8"" × 8""",No,$150.00,,,,,,,No,,,,,,,No,No,Avocado Kitchen Wall Art Canvas Print – Avo Love Modern Food Still Life (https://app.notion.com/p/Avocado-Kitchen-Wall-Art-Canvas-Print-Avo-Love-Modern-Food-Still-Life-36f70b21b17e8114b53bf6b91b830bd1?pvs=21),,Etsy Import — Pending Review,AOA-ART-0031,,avo-love,,,,,,,,No,,Yes,,,,,
Blue Vase & Quiet Light,,available,,landscape,"20"" × 16""",No,$399.00,,,,,,,No,,,,,,,No,No,,,Etsy Import — Pending Review,AOA-ART-0060,,blue-vase-quiet-light,,Oil,,,,,,No,,Yes,,,canvas,,
Blush in the Horizon,,available,,square,"20"" × 20""",No,$399.00,,,,,,,No,,,,,,,No,No,,,Etsy Import — Pending Review,AOA-ART-0007,,blush-in-the-horizon,,,,,,,,No,,Yes,,,,,
Citrine Silence,,available,,portrait,"8"" × 10""",No,$199.00,,,,,,,No,,,,,,,No,No,Lemon Still Life Kitchen Canvas Print – Citrine Silence by Kaleigh Anderson (https://app.notion.com/p/Lemon-Still-Life-Kitchen-Canvas-Print-Citrine-Silence-by-Kaleigh-Anderson-36f70b21b17e81b289fef9fed9f4a06f?pvs=21),,Etsy Import — Pending Review,AOA-ART-0020,,citrine-silence,,,,,,,,No,,Yes,,,,,
