Product Name,Product Type,Price,Workflow Status,Source Artwork,Fulfillment Method,Sales Channels,Print File,Primary Mockup File,Mockup Image Full Set,Etsy Link,Etsy Listing ID,Etsy Shipping Profile,Etsy Status,Finish,Frame Color,Lovable Shipping Rate,Lovable Status,Margin %,Notes,Orientation,Printful Base Cost,Printful Product,Printful SKU,Shipping Cost,Shipping Model,Size,Total Cost,artwork_id,product_id,Mockup Status,Next Action,POC Product
Print — Floating Frame (Printful) — 33x42,Print,,ready-for-review,Where the Water Waits (https://app.notion.com/p/Where-the-Water-Waits-37370b21b17e811aa88ff8c0a7e8cc43?pvs=21),Printful,,,,,,,,,Floating Frame (Printful),Black,,,,AOA-PRD-0061-010 | Large size — confirm Printful SKU and retail price.,,,,,,,33x42,,,,,,No
Print — Floating Frame (Printful) — 33x42,Print,,ready-for-review,Where the Water Waits (https://app.notion.com/p/Where-the-Water-Waits-37370b21b17e811aa88ff8c0a7e8cc43?pvs=21),Printful,,,,,,,,,Floating Frame (Printful),Natural,,,,AOA-PRD-0061-009 | Large size — confirm Printful SKU and retail price.,,,,,,,33x42,,,,,,No
Print — Floating Frame (Printful) — 33x42,Print,,ready-for-review,Where the Water Waits (https://app.notion.com/p/Where-the-Water-Waits-37370b21b17e811aa88ff8c0a7e8cc43?pvs=21),Printful,,,,,,,,,Floating Frame (Printful),White,,,,AOA-PRD-0061-008 | Large size — confirm Printful SKU and retail price.,,,,,,,33x42,,,,,,No
Print — Floating Frame (Printful) — 22x28,Print,,ready-for-review,Where the Water Waits (https://app.notion.com/p/Where-the-Water-Waits-37370b21b17e811aa88ff8c0a7e8cc43?pvs=21),Printful,,,,,,,,,Floating Frame (Printful),Black,,,,AOA-PRD-0061-007 | Medium size — confirm Printful SKU and retail price.,,,,,,,22x28,,,,,,No
Print — Floating Frame (Printful) — 22x28,Print,,ready-for-review,Where the Water Waits (https://app.notion.com/p/Where-the-Water-Waits-37370b21b17e811aa88ff8c0a7e8cc43?pvs=21),Printful,,,,,,,,,Floating Frame (Printful),Natural,,,,AOA-PRD-0061-006 | Medium size — confirm Printful SKU and retail price.,,,,,,,22x28,,,,,,No
Print — Floating Frame (Printful) — 22x28,Print,,ready-for-review,Where the Water Waits (https://app.notion.com/p/Where-the-Water-Waits-37370b21b17e811aa88ff8c0a7e8cc43?pvs=21),Printful,,,,,,,,,Floating Frame (Printful),White,,,,AOA-PRD-0061-005 | Medium size — confirm Printful SKU and retail price.,,,,,,,22x28,,,,,,No
Print — Floating Frame (Printful) — 11x14,Print,,ready-for-review,Where the Water Waits (https://app.notion.com/p/Where-the-Water-Waits-37370b21b17e811aa88ff8c0a7e8cc43?pvs=21),Printful,,,,,,,,,Floating Frame (Printful),Black,,,,"AOA-PRD-0061-004 | Printful variant: floating frame, portrait — confirm Printful SKU and retail price.",,,,,,,11x14,,,,,,No
Print — Floating Frame (Printful) — 11x14,Print,,ready-for-review,Where the Water Waits (https://app.notion.com/p/Where-the-Water-Waits-37370b21b17e811aa88ff8c0a7e8cc43?pvs=21),Printful,,,,,,,,,Floating Frame (Printful),Natural,,,,"AOA-PRD-0061-003 | Printful variant: floating frame, portrait — confirm Printful SKU and retail price.",,,,,,,11x14,,,,,,No
Print — Floating Frame (Printful) — 11x14,Print,,ready-for-review,Where the Water Waits (https://app.notion.com/p/Where-the-Water-Waits-37370b21b17e811aa88ff8c0a7e8cc43?pvs=21),Printful,,,,,,,,,Floating Frame (Printful),White,,,,"AOA-PRD-0061-002 | Printful variant: floating frame, portrait — confirm Printful SKU and retail price.",,,,,,,11x14,,,,,,No
Original — Gallery Wrap (Original) — 11x14,Original,$249.00,ready-for-review,Where the Water Waits (https://app.notion.com/p/Where-the-Water-Waits-37370b21b17e811aa88ff8c0a7e8cc43?pvs=21),manual,,,,,,,,,Gallery Wrap (Original),,,,,AOA-PRD-0061-001 | Original painting record; confirm framing and edge finish before sale.,,,,,,,11x14,,,,,,No
A Place to Return - Maine Coastal Cottage Canvas Print – Dockside Rowboat Wall Art,Printful Print,$65.00,Imported - Pending Review,A Place to Return (https://app.notion.com/p/A-Place-to-Return-35170b21b17e80e1912ae6d7dffeb816?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,AOA-ART-0001,,,,No
When the Shore Breathes — Coastal Sunset Ocean Landscape Oil Painting Print,Printful Print,$65.00,Imported - Pending Review,When the Shore Breathes (https://app.notion.com/p/When-the-Shore-Breathes-36f70b21b17e814ab743c746dffc2a07?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,AOA-ART-0037,,,,No
Island Reverie — Coastal Island Seascape Oil Painting Print,Printful Print,$65.00,Imported - Pending Review,Island Reverie (https://app.notion.com/p/Island-Reverie-36f70b21b17e81419bfcf0af371e5dfc?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,AOA-ART-0049,,,,No
Sky Bound Still — Coastal Marsh Horizon Oil Painting Print,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,AOA-ART-0047,,,,No
Summer at Black Point — Coastal Estate Garden Oil Painting Canvas Print,Printful Print,$65.00,Imported - Pending Review,Summer at Black Point (https://app.notion.com/p/Summer-at-Black-Point-36f70b21b17e819d964ef26a6447912b?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,AOA-ART-0044,,,,No
Tethered by the Tide — Coastal Lobster Buoy Oil Painting Print,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
Keeper of the Cove — Red Cottage Harbor Coastal Oil Painting Canvas Print,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
Keeper of Cliff Walk — Coastal Shingled Cottage Ocean Oil Painting Canvas Print,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
Tethered in Blue – Nautical Harbor Landscape Painting-Oil Painting Canvas PrinT,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
Salt and Sunlight– Coastal Maine Lobster Buoy Wall Art- Oil Painting Canvas PrinT,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
Framed August Brine-Canvas Print,Printful Print,$85.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
Tides Bounty-Harbor Dock Boats Oil Painting Canvas Print,Printful Print,$85.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
Lilac Curtain– Floral Landscape Painting Canvas Print-Cottage Garden Wall Art,Printful Print,$85.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
